Municipios;Sexo;Periodo;Total
44008 Albalate del Arzobispo;Total;2019;1.980
44008 Albalate del Arzobispo;Total;2018;2.004
44008 Albalate del Arzobispo;Total;2017;1.978
44008 Albalate del Arzobispo;Total;2016;2.003
44008 Albalate del Arzobispo;Total;2015;2.001
44008 Albalate del Arzobispo;Total;2014;2.025
44008 Albalate del Arzobispo;Total;2013;2.049
44008 Albalate del Arzobispo;Total;2012;2.087
44008 Albalate del Arzobispo;Total;2011;2.115
44008 Albalate del Arzobispo;Total;2010;2.155
44008 Albalate del Arzobispo;Total;2009;2.195
44008 Albalate del Arzobispo;Total;2008;2.233
44008 Albalate del Arzobispo;Total;2007;2.238
44008 Albalate del Arzobispo;Total;2006;2.200
44008 Albalate del Arzobispo;Total;2005;2.179
44008 Albalate del Arzobispo;Total;2004;2.180
44008 Albalate del Arzobispo;Total;2003;2.201
44008 Albalate del Arzobispo;Total;2002;2.221
44008 Albalate del Arzobispo;Total;2001;2.252
44008 Albalate del Arzobispo;Total;2000;2.283
44008 Albalate del Arzobispo;Total;1999;2.335
44008 Albalate del Arzobispo;Total;1998;2.379
44008 Albalate del Arzobispo;Total;1997;""
44008 Albalate del Arzobispo;Total;1996;2.434
44008 Albalate del Arzobispo;Hombres;2024;1.007
44008 Albalate del Arzobispo;Hombres;2023;1.016
44008 Albalate del Arzobispo;Hombres;2022;1.006
44008 Albalate del Arzobispo;Hombres;2021;1.013
44008 Albalate del Arzobispo;Hombres;2020;1.007
44008 Albalate del Arzobispo;Hombres;2019;1.013
44008 Albalate del Arzobispo;Hombres;2018;1.023
44008 Albalate del Arzobispo;Hombres;2017;1.008
44008 Albalate del Arzobispo;Hombres;2016;1.013
44008 Albalate del Arzobispo;Hombres;2015;1.017
44008 Albalate del Arzobispo;Hombres;2014;1.031
44008 Albalate del Arzobispo;Hombres;2013;1.048
44008 Albalate del Arzobispo;Hombres;2012;1.070
44008 Albalate del Arzobispo;Hombres;2011;1.083
44008 Albalate del Arzobispo;Hombres;2010;1.099
44008 Albalate del Arzobispo;Hombres;2009;1.125
44008 Albalate del Arzobispo;Hombres;2008;1.150
44008 Albalate del Arzobispo;Hombres;2007;1.149
44008 Albalate del Arzobispo;Hombres;2006;1.121
44008 Albalate del Arzobispo;Hombres;2005;1.104
44008 Albalate del Arzobispo;Hombres;2004;1.102
44008 Albalate del Arzobispo;Hombres;2003;1.107
44008 Albalate del Arzobispo;Hombres;2002;1.104
44008 Albalate del Arzobispo;Hombres;2001;1.109
44008 Albalate del Arzobispo;Hombres;2000;1.115
44008 Albalate del Arzobispo;Hombres;1999;1.148
44008 Albalate del Arzobispo;Hombres;1998;1.170
44008 Albalate del Arzobispo;Hombres;1997;""
44008 Albalate del Arzobispo;Hombres;1996;1.197
44008 Albalate del Arzobispo;Mujeres;2024;926
44008 Albalate del Arzobispo;Mujeres;2023;939
44008 Albalate del Arzobispo;Mujeres;2022;953
44008 Albalate del Arzobispo;Mujeres;2021;964
44008 Albalate del Arzobispo;Mujeres;2020;965
44008 Albalate del Arzobispo;Mujeres;2019;967
44008 Albalate del Arzobispo;Mujeres;2018;981
44008 Albalate del Arzobispo;Mujeres;2017;970
44008 Albalate del Arzobispo;Mujeres;2016;990
44008 Albalate del Arzobispo;Mujeres;2015;984
44008 Albalate del Arzobispo;Mujeres;2014;994
44008 Albalate del Arzobispo;Mujeres;2013;1.001
44008 Albalate del Arzobispo;Mujeres;2012;1.017
44008 Albalate del Arzobispo;Mujeres;2011;1.032
44008 Albalate del Arzobispo;Mujeres;2010;1.056
44008 Albalate del Arzobispo;Mujeres;2009;1.070
44008 Albalate del Arzobispo;Mujeres;2008;1.083
44008 Albalate del Arzobispo;Mujeres;2007;1.089
44008 Albalate del Arzobispo;Mujeres;2006;1.079
44008 Albalate del Arzobispo;Mujeres;2005;1.075
44008 Albalate del Arzobispo;Mujeres;2004;1.078
44008 Albalate del Arzobispo;Mujeres;2003;1.094
44008 Albalate del Arzobispo;Mujeres;2002;1.117
44008 Albalate del Arzobispo;Mujeres;2001;1.143
44008 Albalate del Arzobispo;Mujeres;2000;1.168
