"anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","Total Contratos","Contratos iniciales indefinidos hombres","Contratos iniciales temporales hombres","Contratos convertidos en indefinidos hombres","Contratos iniciales indefinidos mujeres","Contratos iniciales temporales mujeres","Contratos convertidos en indefinidos mujeres","Contratos  Agricultura","Contratos  Industria","Contratos Construcción","Contratos  Servicios","Total Contratos_min","Cod min_mes","Total Contratos_max","Cod max_mes"
"2018","09315",7,"Castilla y León",9,"Burgos","Revillarruz",1.33,0.08,0.92,0,0,0.33,0,0.17,0.17,0.08,0.92,0,"01",5,"05"
"2018","09316",7,"Castilla y León",9,"Burgos","Revilla Vallejera",29.25,0.17,9,1.33,0.17,17.33,1.25,1.08,2.17,0.08,25.92,14,"07",49,"10"
"2018","09317",7,"Castilla y León",9,"Burgos","Rezmondo",0.17,0,0.17,0,0,0,0,0.08,0,0,0.08,0,"01",1,"05"
"2018","09318",7,"Castilla y León",9,"Burgos","Riocavado de la Sierra",2.17,0,1.33,0,0,0.83,0,0,0,0,2.17,0,"01",14,"07"
"2018","09321",7,"Castilla y León",9,"Burgos","Roa",293.08,4.75,186.17,1.83,3.83,95.58,0.92,239.58,27.42,2.92,23.17,58,"12",1054,"10"
"2018","09323",7,"Castilla y León",9,"Burgos","Rojas",0.42,0.08,0.17,0,0,0.17,0,0,0.08,0,0.33,0,"01",3,"05"
"2018","09325",7,"Castilla y León",9,"Burgos","Royuela de Río Franco",1.17,0,0.58,0,0.08,0.5,0,0.08,0.08,0.08,0.92,0,"01",2,"02"
"2018","09326",7,"Castilla y León",9,"Burgos","Rubena",7.67,0.5,4.17,0.58,0.25,1.83,0.33,0,1.75,0.25,5.67,2,"09",18,"01"
"2018","09327",7,"Castilla y León",9,"Burgos","Rublacedo de Abajo",0.33,0.08,0.17,0,0,0.08,0,0.25,0,0,0.08,0,"01",3,"07"
"2018","09328",7,"Castilla y León",9,"Burgos","Rucandio",1.67,0,1.17,0,0,0.5,0,1.58,0,0,0.08,0,"01",11,"07"
"2018","09329",7,"Castilla y León",9,"Burgos","Salas de Bureba",1.08,0,0.67,0,0,0.42,0,0,0,0,1.08,0,"01",3,"05"
"2018","09330",7,"Castilla y León",9,"Burgos","Salas de los Infantes",121.25,1.92,52.17,1.58,0.83,63.75,1,3.92,6,2.08,109.25,101,"08",144,"11"
"2018","09332",7,"Castilla y León",9,"Burgos","Saldaña de Burgos",0.67,0.08,0.42,0.08,0,0.08,0,0.17,0.33,0,0.17,0,"03",2,"05"
"2018","09334",7,"Castilla y León",9,"Burgos","Salinillas de Bureba",1.42,0,0.25,0,0,1.17,0,0,0,0,1.42,0,"01",12,"06"
"2018","09335",7,"Castilla y León",9,"Burgos","San Adrián de Juarros",0,0,0,0,0,0,0,0,0,0,0,0,"01",0,"01"
"2018","09337",7,"Castilla y León",9,"Burgos","San Juan del Monte",1.08,0,0.42,0,0,0.67,0,0.08,0.42,0,0.58,0,"01",4,"10"
"2018","09338",7,"Castilla y León",9,"Burgos","San Mamés de Burgos",0.58,0.42,0.17,0,0,0,0,0,0,0,0.58,0,"03",3,"01"
"2018","09339",7,"Castilla y León",9,"Burgos","San Martín de Rubiales",3.25,0,2,0.08,0,1.17,0,2.42,0.42,0,0.42,0,"02",28,"10"
"2018","09340",7,"Castilla y León",9,"Burgos","San Millán de Lara",0.33,0,0.08,0,0.08,0.17,0,0,0.08,0.08,0.17,0,"01",1,"03"
"2018","09343",7,"Castilla y León",9,"Burgos","Santa Cecilia",0.5,0,0.5,0,0,0,0,0.08,0.42,0,0,0,"02",2,"06"
"2018","09345",7,"Castilla y León",9,"Burgos","Santa Cruz de la Salceda",3.83,0.08,2.67,0.08,0,0.75,0.25,2.42,0.08,0.17,1.17,0,"09",11,"04"
"2018","09346",7,"Castilla y León",9,"Burgos","Santa Cruz del Valle Urbión",0.42,0,0.17,0.08,0,0.17,0,0.17,0,0,0.25,0,"02",1,"01"
"2018","09347",7,"Castilla y León",9,"Burgos","Santa Gadea del Cid",45.58,0.33,14.92,0,0.17,30.08,0.08,0.08,0,0.17,45.33,12,"01",77,"05"
"2018","09348",7,"Castilla y León",9,"Burgos","Santa Inés",0.25,0,0.17,0,0,0.08,0,0,0,0.08,0.17,0,"01",2,"05"
"2018","09350",7,"Castilla y León",9,"Burgos","Santa María del Campo",6.33,0.25,3.5,0.33,0.42,1.75,0.08,1.83,1.17,0.17,3.17,3,"03",11,"08"
"2018","09351",7,"Castilla y León",9,"Burgos","Santa María del Invierno",0.25,0,0.17,0,0,0.08,0,0,0,0,0.25,0,"01",2,"05"
"2018","09352",7,"Castilla y León",9,"Burgos","Santa María del Mercadillo",0.08,0,0.08,0,0,0,0,0,0,0.08,0,0,"01",1,"04"
"2018","09353",7,"Castilla y León",9,"Burgos","Santa María Rivarredonda",1.08,0,0.75,0,0,0.33,0,0.17,0.42,0,0.5,0,"01",2,"05"
"2018","09354",7,"Castilla y León",9,"Burgos","Santa Olalla de Bureba",0.17,0,0.08,0,0,0.08,0,0,0,0,0.17,0,"01",1,"05"
"2018","09355",7,"Castilla y León",9,"Burgos","Santibáñez de Esgueva",0.33,0,0.17,0,0.08,0.08,0,0.08,0,0,0.25,0,"03",1,"01"
"2018","09356",7,"Castilla y León",9,"Burgos","Santibáñez del Val",0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,"01",1,"05"
