"Cod mes","Cod anio","Cod municipio","Cod comunidad","Comunidad Aut","Cod provincia","Provincia","Municipio","total Paro Registrado","Paro hombre edad < 25","Paro hombre edad 25 -45","Paro hombre edad >=45","Paro mujer edad < 25","Paro mujer edad 25 -45","Paro mujer edad >=45","Paro Agricultura","Paro Industria","Paro Construcci�n","Paro Servicios","Paro Sin empleo Anterior","total Paro Registrado_Min_value","Cod min_mes","total Paro Registrado_Max_value","Cod max_mes"
201101,"2011","45158",8,"Castilla - La Mancha",45,"Toledo","Santa Olalla",437,32.58,103.92,86.42,26.92,114.58,72.58,9.5,70,104.83,227.33,25.33,409,"201108",460,"201112"
201101,"2011","45159",8,"Castilla - La Mancha",45,"Toledo","Sartajada",9.5,0.25,2.33,4,0.42,0.58,1.92,0,0.33,3.08,5.92,0.17,7,"201108",11,"201111"
201101,"2011","45160",8,"Castilla - La Mancha",45,"Toledo","Segurilla",182.17,16.17,35.83,25.42,8,55.08,41.67,3.08,19.17,32.58,113.92,13.42,169,"201104",204,"201112"
201101,"2011","45161",8,"Castilla - La Mancha",45,"Toledo","Sese�a",1859.33,90.83,512.58,233.58,74.42,699.42,248.5,9.83,185.75,290.83,1348.5,24.42,1766,"201109",1996,"201112"
201101,"2011","45162",8,"Castilla - La Mancha",45,"Toledo","Sevilleja de la Jara",46.83,5.17,7.42,14.75,4.42,7.83,7.25,6.33,3,5.25,29.33,2.92,37,"201103",59,"201110"
201101,"2011","45163",8,"Castilla - La Mancha",45,"Toledo","Sonseca",1287.17,94.17,312.5,229,76.92,332.08,242.5,65.42,471.75,124.08,561.08,64.83,1114,"201109",1402,"201104"
201101,"2011","45164",8,"Castilla - La Mancha",45,"Toledo","Sotillo de las Palomas",16.92,1,3.08,4.58,0,5.75,2.5,0,3.83,4.5,7.08,1.5,14,"201107",21,"201102"
201101,"2011","45165",8,"Castilla - La Mancha",45,"Toledo","Talavera de la Reina",12871.42,935.75,2769.17,1912.58,761.33,3564.58,2928,291.17,1635.17,2099.75,7787.67,1057.67,12434,"201107",13325,"201112"
201101,"2011","45166",8,"Castilla - La Mancha",45,"Toledo","Tembleque",167.17,9.58,41.92,33.33,7.42,49.92,25,12.67,35.67,17.83,94.33,6.67,147,"201110",195,"201112"
201101,"2011","45167",8,"Castilla - La Mancha",45,"Toledo","Toboso, El",193.5,13.17,45.42,31.25,11.83,59.58,32.25,25.83,20.08,32.42,100.5,14.67,131,"201109",215,"201105"
