;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201301;Enero de 2013;1;Andalucía;14;Córdoba;14004;Almedinilla;163;10;30;31;12;62;18;18;35;33;67;10
201301;Enero de 2013;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;1209;93;336;271;78;269;162;190;79;262;610;68
201301;Enero de 2013;1;Andalucía;14;Córdoba;14006;Añora;196;13;37;37;14;50;45;7;22;43;107;17
201301;Enero de 2013;1;Andalucía;14;Córdoba;14007;Baena;1952;128;513;413;169;539;190;524;215;285;773;155
201301;Enero de 2013;1;Andalucía;14;Córdoba;14008;Belalcázar;523;44;98;79;45;131;126;26;52;84;250;111
201301;Enero de 2013;1;Andalucía;14;Córdoba;14009;Belmez;575;55;136;115;38;126;105;22;53;116;276;108
201301;Enero de 2013;1;Andalucía;14;Córdoba;14010;Benamejí;345;37;91;73;45;69;30;57;32;85;135;36
201301;Enero de 2013;1;Andalucía;14;Córdoba;14011;Blázquez, Los;117;11;21;16;5;34;30;7;9;32;66;3
201301;Enero de 2013;1;Andalucía;14;Córdoba;14012;Bujalance;632;56;156;144;69;155;52;223;59;69;218;63
201301;Enero de 2013;1;Andalucía;14;Córdoba;14013;Cabra;2117;148;524;400;133;583;329;220;359;275;1042;221
201301;Enero de 2013;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;198;13;54;52;17;44;18;66;11;35;71;15
201301;Enero de 2013;1;Andalucía;14;Córdoba;14015;Carcabuey;185;12;42;39;17;51;24;18;18;27;102;20
201301;Enero de 2013;1;Andalucía;14;Córdoba;14016;Cardeña;171;16;28;35;13;47;32;22;10;29;101;9
201301;Enero de 2013;1;Andalucía;14;Córdoba;14017;Carlota, La;1632;92;481;319;100;471;169;194;204;305;798;131
201301;Enero de 2013;1;Andalucía;14;Córdoba;14018;Carpio, El;662;40;193;140;53;156;80;76;120;99;319;48
201301;Enero de 2013;1;Andalucía;14;Córdoba;14019;Castro del Río;608;34;154;125;68;182;45;147;31;102;256;72
201301;Enero de 2013;1;Andalucía;14;Córdoba;14020;Conquista;39;5;7;3;5;8;11;4;2;6;24;3
201301;Enero de 2013;1;Andalucía;14;Córdoba;14021;Córdoba;48620;2734;11035;8968;2516;12597;10770;1541;4945;6067;29640;6427
201301;Enero de 2013;1;Andalucía;14;Córdoba;14022;Doña Mencía;410;22;109;91;45;112;31;90;83;56;140;41
201301;Enero de 2013;1;Andalucía;14;Córdoba;14023;Dos Torres;312;24;47;64;15;75;87;18;44;54;174;22
201301;Enero de 2013;1;Andalucía;14;Córdoba;14024;Encinas Reales;204;7;51;43;24;51;28;14;35;42;96;17
201301;Enero de 2013;1;Andalucía;14;Córdoba;14025;Espejo;184;11;38;51;27;42;15;36;11;36;78;23
201301;Enero de 2013;1;Andalucía;14;Córdoba;14026;Espiel;404;38;82;53;27;119;85;40;71;79;173;41
201301;Enero de 2013;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;1264;117;358;262;90;324;113;180;105;232;574;173
201301;Enero de 2013;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;60;4;16;5;4;18;13;2;3;23;32;0
201301;Enero de 2013;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;908;73;172;130;64;213;256;44;67;154;496;147
201301;Enero de 2013;1;Andalucía;14;Córdoba;14030;Fuente Palmera;1012;87;297;237;88;231;72;262;141;206;339;64
201301;Enero de 2013;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;43;2;13;7;5;11;5;5;4;4;29;1
201301;Enero de 2013;1;Andalucía;14;Córdoba;14032;Granjuela, La;102;12;18;16;6;24;26;4;5;34;51;8
201301;Enero de 2013;1;Andalucía;14;Córdoba;14033;Guadalcázar;157;11;41;29;18;46;12;19;15;30;78;15
201301;Enero de 2013;1;Andalucía;14;Córdoba;14034;Guijo, El;41;5;8;8;0;10;10;3;1;2;34;1
201301;Enero de 2013;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;1224;86;214;199;86;287;352;46;98;322;527;231
201301;Enero de 2013;1;Andalucía;14;Córdoba;14036;Hornachuelos;358;27;107;85;36;68;35;85;26;145;84;18
201301;Enero de 2013;1;Andalucía;14;Córdoba;14037;Iznájar;212;15;39;56;19;59;24;21;21;24;123;23
201301;Enero de 2013;1;Andalucía;14;Córdoba;14038;Lucena;5399;410;1271;943;384;1685;706;397;1669;491;2217;625
201301;Enero de 2013;1;Andalucía;14;Córdoba;14039;Luque;249;16;53;57;31;66;26;74;42;22;95;16
201301;Enero de 2013;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;168;14;47;21;13;60;13;35;21;14;92;6
201301;Enero de 2013;1;Andalucía;14;Córdoba;14041;Montemayor;425;35;124;104;28;104;30;90;60;84;148;43
201301;Enero de 2013;1;Andalucía;14;Córdoba;14042;Montilla;2789;182;625;444;164;848;526;280;461;390;1369;289
201301;Enero de 2013;1;Andalucía;14;Córdoba;14043;Montoro;1205;95;342;251;91;274;152;355;125;196;437;92
201301;Enero de 2013;1;Andalucía;14;Córdoba;14044;Monturque;146;10;31;43;20;32;10;32;17;25;63;9
201301;Enero de 2013;1;Andalucía;14;Córdoba;14045;Moriles;390;36;134;82;41;84;13;69;45;116;125;35
201301;Enero de 2013;1;Andalucía;14;Córdoba;14046;Nueva Carteya;292;17;102;72;28;61;12;113;16;51;89;23
201301;Enero de 2013;1;Andalucía;14;Córdoba;14047;Obejo;245;18;50;45;24;74;34;9;15;45;156;20
201301;Enero de 2013;1;Andalucía;14;Córdoba;14048;Palenciana;58;4;16;19;5;11;3;8;6;9;33;2
201301;Enero de 2013;1;Andalucía;14;Córdoba;14049;Palma del Río;1715;141;444;304;159;465;202;279;138;308;799;191
