"anio","Cod CA","Cod provincia","poblacion_hombres","poblacion_mujeres","poblacion_total"
2024,"10","46",1324325,1385108,2709433
2024,"11","06",252157,237232,500783
2024,"11","10",188391,173851,358498
2024,"12","15",540379,587941,1128320
2024,"12","27",141153,165833,296789
2024,"12","32",144981,158423,279194
2024,"12","36",428448,460334,906494
2024,"13","28",3351793,3649922,7001715
2024,"14","30",787920,784013,1571933
2024,"15","31",320210,321786,652076
2024,"16","01",166915,162583,329840
2024,"16","20",343968,343654,688288
2024,"16","48",560802,599331,1160133
2024,"17","26",158000,156562,324399
2024,"18","51",4198,41249,83229
2025,"01","04",371911,372479,531261
2025,"01","11",618395,638646,1257041
2025,"01","14",357773,387065,735217
2025,"01","18",453268,443522,902406
2025,"01","21",248401,250636,532652
2025,"01","23",216827,274516,549690
2025,"01","29",874507,916585,1791092
2025,"01","41",963475,1013149,1976624
2025,"02","22",117411,112178,221552
2025,"02","44",64668,66813,135090
2025,"02","50",470607,498551,965702
2025,"03","33",483531,529998,1013529
2025,"04","07",616498,620982,1237480
2025,"05","35",579509,588046,1167555
2025,"05","38",530410,552011,1082421
2025,"06","39",276243,282945,535644
2025,"07","05",78965,50790,148970
2025,"07","09",180878,164046,353618
2025,"07","24",210342,220895,437069
2025,"07","34",78782,78672,157625
2025,"07","37",149129,164044,184257
2025,"07","40",78085,75057,154942
2025,"07","42",43467,44373,88830
2025,"07","47",126818,268328,497089
2025,"07","49",81796,79636,162539
2025,"08","02",184863,188461,178582
2025,"08","13",243743,202793,450613
